proteinID	geneID	uniprot	protein_name	gene_name
CPLX-7780			6,7-dimethyl-8-ribityllumazine synthase	
CPLX490-3520			NdhD1/NdhF1/NdhP/NdhQ complex	
CPLX-8214			glucosylglycerate synthase	
CPLX-3242			particulate methane monooxygenase hydroxylase	pMMO hydroxylase component, PMMOH, PMH
GLUTDECARBOXB-CPLX				
CPLX-8677			2,5-diketocamphane 1,2-monooxygenase	2,5-diketocamphane lactonizing enzyme, ketolactonase I, 2,5-DKCMO, camphor 1,2-monooxygenase
CPLX-6746			&Delta;<sup>1</sup>-pyrroline-5-carboxylate dehydrogenase, mitochondrial	
CPLX-9105			1,2-epoxy-2-methyl-3-butene--glutathione S-transferase	
CPLX-6976				
CPLX-9507			3-oxo-&Delta;<sup>1</sup>-steroid hydratase/dehydrogenase	1-testosterone hydratase/dehydrogenase, &Delta;<sup>1</sup>-dihydrotestosterone hydratase/dehydrogenase
CPLX-7412				
CPLX0-7684			L-valine exporter	YgaZ/YgaH L-valine exporter complex
CPLX4-495			cholera toxin B subunit pentamer	
CPLX-82			P700 protein	
CPLX-3181				glycerate dehydrogenase, HPR, hydroxypyruvate dehydrogenase, glyoxylate reductase
GDHA-CPLX			glutamate dehydrogenase	
CPLX-8663			pectate trisaccharide-lyase	
CPLX-663			&alpha; complex	
CPLX-9089			hydroxyatrazine ethylaminohydrolase	
CPLX-6952				
CPLX-9489			CDP-glucose 4,6-dehydratase	
CPLX-7396				
CPLX-1305			cysteine synthase A	OAS-TL A, O-acetylserine (thiol) lyase, cysteine synthase 1
CPLX0-7645			L-fucose mutarotase	
CPLX3O-38				
CPLX-8177			gallate dioxygenase	
CPLX-2961			tryptophan synthase &beta; subunit dimer	
FORMHYDROG2-CPLX			hydrogenase 2	HYD2, hydrogenase-2, hydrogen:menaquinone oxidoreductase 2
CPLX-8637			GMP synthase	
CPLX-6481			toluene <i>ortho</i>-monooxygenase hydroxylase	
CPLX-9071			3,8-divinyl-chlorophyllide <i>a</i> reductase	BvCOR
CPLX-9476			[mycofactocin precursor peptide]-tyrosine decarboxylase	
CPLX-7371			xanthine dehydrogenase	
CPLX-122			glyceraldehyde 3-phosphate dehydrogenase 2	GAPDH2, GAP-2
CPLX0-7614			ATP phosphoribosyltransferase	
CPLX3O-10531			dehydrodolichyl diphosphate synthase complex	
CPLX-8161			5'-fluoro-5'-deoxyadenosine synthase	
CPLX-281			&gamma; complex	
ERYTH4PDEHYDROG-CPLX				
CPLX-8618			deoxycytidine kinase	
CPLX-6363				
CPLX-9054			dibenzothiophene-5,5-dioxide monooxygenase	
CPLX-9457			MMP 1-<i>O</i>-methyltransferase	
CPLX-7355				
CPLX-1121				
CPLX0-7466			xylulokinase	
CPLX-7769			ubiquitous mitochondrial creatine kinase	uMtCK, MtCK, mitochondrial creatine kinase, Mi-CK, uMi-CK, ubiquitous mitochondrial creatine kinase octamer
CPLX3O-10514			ribonucleoside-diphosphate reductase small subunit heterodimer	
CPLX-8144				desulfonative sulfolactate sulfo-lyase
CPLX-269				
DIOHBUTANONEPSYN-CPLX				
CPLX-8603			curcuminoid synthase	
CPLX-6222			S-adenosyl-L-methionine:benzoic acid-salicylic acid carboxymethyltransferase	
CPLX-9026			3-hydroxy-D-kynurenine methyltransferase	
CPLX-9440			levoglucosan dehydrogenase	
CPLX-7338				
CPLX-1021				
CPLX0-3970			murein tripeptide ABC transporter	
CPLX-7752			&beta;-ribofuranosylhydroxybenzene 5'-phosphate synthase	RFAP synthase
CPLX1YI0-76			cytochrome <i>b<sub>6</sub>f</i> complex	
CPLX-8127				ASADH, ASA DH I
CPLX-2581			sulfoacetaldehyde acetyltransferase	
DAPASYN-CPLX			adenosylmethionine-8-amino-7-oxononanoate aminotransferase	adenosylmethionine-8-amino-7-oxononanoate transaminase
CPLX-8578			cyanide hydratase	
CPLX-602			methionine adenosyltransferase 2	<I>S</I>-adenosylmethionine synthetase 2, AdoMet synthase 2
CPLX-9007			dTDP-3-amino-3,6-dideoxy-&alpha;-<small>D</small>-galactopyranose <em>N</em>,<em>N</em>-dimethyltransferase	
CPLX-9421			NADH-dependent FMN oxidoreductase	
CPLX-7319				
BIOTIN-SYN-CPLX			biotin synthase	BioB
CPLX0-3929			D-arabinose 5-phosphate isomerase GutQ	
CPLX-7732				DASOX, DDO
CPLX1UA-2			&alpha; (3R)-3-hydroxyacyl-[acyl carrier protein] dehydratase	
CPLX-8106			cytidine deaminase	cytidine deaminase
CPLX-2343			&omega;-(methylsulfinyl)alkyl glucosinolate dioxygenase	
CPLXQT-27			chloroplastic 6,7-dimethyl-8-ribityllumazine synthase	
CPLX-8554			amine:pyruvate transaminase	
CPLX-5721			L-cysteine : 1 D-<i>myo</i>-inositol 2-amino-2-deoxy-&alpha;-D-glucopyranoside ligase	MshC
CPLX-8987			D-uronate dehydrogenase	
CPLX-9400			cylindrospermopsin polyketide synthase complex  CyrCDEF	
CPLX-7301			(+)-pinoresinol/(+)-lariciresinol reductase	
AT4G11850-CPLX				PLD, PLD &gamma;
CPLX0-3681				
CPLX-7715				trimethyllysine dioxygenase, mitochondrial
CPLX1G01-66			cytochrome <i>cbb<sub>3</sub></i>-1 terminal oxidase	Cbb3-1 cytochrome c oxidase
CPLX-8090			diphosphate:fructose-6-phosphate 1-phosphotransferase	pyrophosphate-dependent 6-phosphofructokinase
CPLX-2223			&omega;-hydroxyacid dehydrogenase	&omega;-hydroxy fatty acid dehydrogenase
CPLX8J2-29			4-amino-4-deoxychorismate synthase	
CPLX-8538			UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate <i>N</i>-acetyltransferase	
CPLX-561			formylmethanofuran dehydrogenase, molybdenum enzyme	
CPLX-8971			(2S)-methylsuccinyl-CoA dehydrogenase	
CPLX-9384			chaxamycin PKS cxmBCDE complex	chaxamycin polyketide synthase BCDE
CPLX-7280			chloroplastic glyceraldehyde 3-phosphate dehydrogenase	
ASPARTASE-CPLX				
CPLX0-3281			RNase III	ribonuuclease III, ribonuclease 3
CPLX-7698			benzoate 1,2-dioxygenase	
CPLX1F-19			&zeta;-carotene desaturase	
CPLX-8073				
CPLX-21		P09191	cytochrome b <SUB>559</SUB>  b complex	cytochrome b <SUB>559</SUB>  &beta; complex, PSII reaction center subunit VI
CPLX66-668			phosphatidylinositol 3-kinase class IA p110&beta;/p85&gamma;	
CPLX-8518				
CPLX-5403			cytosolic pyruvate kinase	cytosolic pyruvate kinase, PK<sub>c</sub>
CPLX-8955			sulfenic acid dehydrogenase	sulfenate dehydrogenase, lachrymatory-factor synthase
CPLX-9368			tylactone synthase complex	
CPLX-7258				
APORNAP-CPLX			RNA polymerase, core enzyme	
CPLX0-3041			peptidase T	aminotripeptidase, tripeptide aminopeptidase
CPLX-7674				
CPLX0-902			tautomerase PptA	
CPLX-8054				
CPLX-1985				fructan exohydrolase
CPLX66-560			ATP synthase F<sub>1</sub> complex &beta; subunit	
CPLX-8494			fumigaclavine A dimethylallyltransferase	
CPLX-527			<I>p</I>-cumate 2,3-dioxygenase system	
UMPKI-CPLX			UMP kinase	
CPLX-8936			phycoerythrocyanin &alpha; subunit phycoviolobilin lyase/isomerase	PEC alpha subunit phycobiliviolin lyase, PEC alpha subunit phycoviolobilin lyase
CPLX-9352			type II alkyl sulfatase	
CPLX-7238				
AGMATIN-CPLX				
CPLX0-252			3-oxoacyl-[acyl carrier protein] synthase 3	KASIII
CPLX-7658			dihydrolipoyl dehydrogenase	acetoin dehydrogenase E3 component
CPLX0-8550			protein-lysine deacetylase/desuccinylase/lipoamidase	
CPLX-8030				
CPLX-1924				
CPLX66-530			isoaspartyl peptidase/L-asparaginase	
CPLX-8478			aryl-sulfate sulfotransferase	
CPLX-5163				probasin-related antigen
TRANS-200-CPLX			ABC-type tripartite efflux pump	MacAB-TolC, macrolide ABC exporter
CPLX-8910			precorrin-2 dehydrogenase	
CPLX-9328			3-(aryl)acryloyl-CoA:(<i>R</i>)-3-(aryl)lactate CoA-transferase	
CPLX-7219			cytosolic pyruvate kinase	PK<sub>c</sub>
ACETYL-COA-CARBOXYLTRANSFER-CPLX				
CPLX0-235				
CPLX-7641			rifamycin polyketide synthase BCDE dimer	rifamycin polyketide synthetase, rifamycin PKS
CPLX0-8304			DcuS-DcuB sensor complex	
CPLX-8011				
CPLX-1867				
CPLX66-480			short-chain 2-methylacyl-CoA dehydrohenase	2-methyl branched chain acyl-CoA dehydrogenase, short/branched chain specific acyl-CoA dehydrogenase, short-chain 2-methyl-enoyl-CoA reductase
CPLX-846			phosphoenolpyruvate carboxylase	PEPC, C4PEPC
CPLX-5003			norcoclaurine 6-<i>O</i>-methyltransferase	
SULFATE-ADENYLYLTRANS-CPLX			sulfate adenylyltransferase	
CPLX-8891			L-2-hydroxycarboxylate dehydrogenase	
CPLX-9311			fatty acid kinase FakAB1	
CPLX-7196				
ABC-51-CPLX			putative transport complex, ABC superfamily	
CPLX0-1941			ferric enterobactin outer membrane transport complex	
CPLX-7618			nitrilotriacetate monooxygenase	
CPLX0-8262			nucleotide 5'-monophosphate nucleosidase	
CPLX-7994				
CPLX-1721			NarGH catalytic dimer of nitrate reductase	
CPLX66-445			10-formyltetrahydrofolate dehydrogenase 1	
CPLX-8440			pesudooxynicotine oxidase	
CPLX-4741				
RIBULPEPIM-CPLX			L-ribulose-5-phosphate 4-epimerase AraD	
CPLX-8872			UDP-xylose synthase 1	
CPLX-9295			3-hydroxy-2-methylpyridinecarboxylate monoxygenase	
CPLX-7177				
ABC-25-CPLX			putrescine ABC transporter	
CPLX0-1261			transketolase 2	TK II
CPLX-7602			<i>holo</i>-DhbB protein	
CPLX0-8217			free methionine-(<i>R</i>)-sulfoxide reductase	
CPLX-7975			D-arabitol-phosphate dehydrogenase	
CPLX-1662				
CPLX66-391			serine dehydratase-like	
CPLX-8417			dTDP-glucose 4,6-dehydratase	
CPLX-462			methionine &gamma;-lyase	
PURE-CPLX			<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	
CPLX-8855				
CPLX-9279			L-glutamate-5-semialdehyde <i>N</i>-acetyltransferase	
CPLX-7157				
6PFK-2-CPX			6-phosphofructokinase 2	PFK II
CPLX-969				
CPLX-7585			CDP-4-dehydro-6-deoxyglucose reductase	CDP-4-dehydro-6-deoxyglucose dehydratase
CPLX0-8186				
CPLX-7951			hydroxycadaverine succinyl-transferase/bisucaberin synthetase	
CPLX-157			glucose-specific PTS enzyme II	EII<sup>glc</sup>, enzyme II <sup>glc</sup>
CPLX66-361			ribose-phosphate pyrophosphokinase 3	
CPLX-8399			adenosine 5'-phosphoramidase	
CPLX-441				
CPLX-884				
CPLX-9263			lycopene &beta;-cyclase	
CPLX-7139			sulfite dehydrogenase	
CPLX-9653			nitrosourea synthase	
CPLX-7566				
CPLX0-8128				
CPLX-7934			AMP deaminase 2	AMP deaminase isoform L
CPLX-1523			L-tryptophan <i>N</i>-monooxygenase	CYP79B2
CPLX66-344			uroporphyrinogen decarboxylase	
CPLX-8383			3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase	
CPLX-4223				
PC00040			DNA-binding transcriptional dual regulator CysB	CysB
CPLX-8822			mitochondrial taurocyamine kinase	
CPLX-9249			furaneol <i>O</i>-methyltransferase	
CPLX-7116			&alpha;-aminoadipic semialdehyde synthase, mitochondrial	aminoadipic semialdehyde synthase, lysine-oxoglutarate reductase, lysine-ketoglutarate reductase
CPLX-9637			ferredoxin-plastoquinone oxidoreductase NDH-1L'	NDH-1L', NDH-1<sub>2</sub>
CPLX-7549			L-malyl CoA lyase	
CPLX0-8092			negative regulator of MalT activity/cystathionine &beta;-lyase	
CPLX-7914			tyrosine aminotransferase	tyrosine transaminase, tyrosine-&alpha;-ketoglutarate transaminase
CPLX-141			butyrate-acetoacetate CoA-transferase, complex A	
CPLX66-326			glycine dehydrogenase (decarboxylating)	glycine dehydrogenase [decarboxylating], mitochondrial, glycine decarboxylase, glycine cleavage system P protein
CPLX-8364			3-ketosteroid 9&alpha;-monooxygenase	
CPLX-4081			GDP-glucose trehalose-6-phosphate synthase	guanosine diphosphate D-glucose:D-glucose-6-phosphate 1-glucosyl transferase
NRDE-CPLX			ribonucleoside-diphosphate reductase 2, &alpha; subunit dimer	
CPLX-8807			2-iminobutanoate/2-iminopropanoate deaminase	
CPLX-9234			GTPBP3 dimer	
CPLX-7096			coenzyme F<small><sub>420</sub></small>:<small>L</small>-glutamate ligase	F420:glutamyl ligase
CPLX-9619			isobutyryl-CoA mutase large subunit dimer	
CPLX-7532			<i>s</i>-triazine hydrolase	
CPLX0-8005			3-oxoacyl-[acyl-carrier-protein] reductase FabG	3-oxoacyl-[acyl-carrier-protein] reductase
CPLX-7893			spore photoproduct lyase	
CPLX-1341				
CPLX66-294			H<sup>+</sup>-translocating V-ATPase V<sub>0</sub> complex	H<sup>+</sup>-translocating V-ATPase V<sub>0</sub> membrane sector, H<sup>+</sup>-translocating V-ATPase V<sub>0</sub> membrane domain
CPLX-8339			archaeal glucosamine-6-phosphate deaminase	
CPLX-3903				I-1-Pase
MONOMER0-1761			MalT-MalK	
CPLX-8791			mycinamicin VI 2''-<i>O</i>-methyltransferase	
CPLX-9219			anhydro-<i>N</i>-acetylmuramic acid kinase	
CPLX-9604			<i>Escherichia coli</i> O:152 antigen polymerase	
CPLX-7515				
CPLX0-7960			protein/nucleic acid deglycase 3	
CPLX-7873			cytosolic NADP(+)-dependent isocitrate dehydrogenase	isocitrate dehydrogenase 1 (NADP+), soluble, NADP-dependent isocitrate dehydrogenase, peroxisomal, NADP(+)-specific ICDH, IDP
CPLX66-221			3 &beta;-hydroxysteroid dehydrogenase/ &Delta; 5-->4-isomerase type 1	
CPLX-8310			tRNA<sup>His</sup> guanylyltransferase	
CPLX-3821				glucose-1-dehydrogenase
MONOMER-17037			dimethylamine monooxygenase	
CPLX-8774			L-2-aminoadipate--LysW ligase	
CPLX-9196			8-demethyl-8-aminoriboflavin-5'-phosphate synthase	
CPLX-7062			long-chain acyl-CoA oxidase	
CPLX-9588			<i>Salmonella</i> O:6,7 antigen polymerase	
CPLX-7488			tryptophan 5-hydroxylase 1	tryptophan 5-monooxygenase 1
CPLX0-7932			cytosine/isoguanine deaminase	
CPLX-7847			type II iododthyronine deiodinase	D2, type-II 5'-deiodinase, type 2 DI, DIOII, 5DII, type II idodthyronine selenodeiodinase, deiodinase, iodothyronine, type II
CPLX66-161			tyrosine 3-monooxygenase	tyrosine 3-hydroxylase, L-tyrosine hydroxylase, L-tyrosine,tetrahydrobiopterin:oxygen oxidoreductase (3-hydroxylating), tyrosine hydroxylase, TH
CPLX-8294			tRNA (guanine<sup>10</sup>-<i>N</i><sup>2</sup>)-methyltransferase	
CPLX-3604				
METNIQ-METHIONINE-ABC-CPLX			L-methionine/D-methionine ABC transporter	
CPLX-8757			hydroxymethylglutaryl-CoA synthase	
CPLX-6928				
CPLX-9178			L-malyl-CoA/&beta;-methylmalyl-CoA lyase	
CPLX-7043			geranylgeranyltransferase type I	
CPLX-9571			dTDP-3-amino-3,6-dideoxy-D-galactose <i>N</i>-formyltransferase	
CPLX-7472			2,4-dinitrotoluene dioxygenase complex oxygenase component	
CPLX0-7882				
CPLX-7830				
CPLX5F9-21				
CPLX-8272			CooA protein	
CPLX-3482				
LUMAZINESYN-CPLX			6,7-dimethyl-8-ribityllumazine synthase	
CPLX-8735			daunorubicin polyketide synthase complex	
CPLX-6911				
CPLX-9158			juglone hydroxylase 1	
CPLX-7029			2-oxoacid:ferredoxin oxidoreductase	OFOR
CPLX-9554			quinone reductase (NADH,flavodoxin) complex electron transfer flavoprotein component	
CPLX-7458				
CPLX0-782			lipoyl synthase	
CPLX-7815			hydroxybenzoquinone reductase	
CPLX4LZ-124			cytb559-D2 complex	
CPLX-8247			4-aminobenzoate <i>N</i>-oxygenase	
CPLX-3402				&beta;-alanine transaminase
HOMSUCTRAN-CPLX				
CPLX-8716			carbon disulfide hydrolase octamer	
CPLX-6895				
CPLX-9139			tetracycline 7-halogenase	
CPLX-7013				
CPLX-9538			electron transfer protein EtfAB	
CPLX-7442				
CPLX0-7758			2'-<i>O</i>-acetyl-ADP-ribose deacetylase, regulator of RNase III activity	
CPLX-7793			pyridoxal 5'-phosphate-dependent histidine decarboxylase	
CPLX490-3560			ClpC hexamer	
CPLX-8226			oxaloacetate acetylhydrolase	oxaloacetase
CPLX-3281				NADP-dependent methylene tetrahydromethanopterin dehydrogenase
GMP-REDUCT-CPLX				
CPLX-8694			4-amino-2-methyl-5-phosphomethylpyrimidine synthase	
CPLX-6861				
CPLX-9122			lysoplasmalogenase	
CPLX-6992				
CPLX-9521			tungsten-containing formaldehyde:ferredoxin oxidoreductase	
CPLX-7426			nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	
CPLX0-7718			UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase	
CPLX490-3510			FoF<sub>1</sub> ATP synthase	
CPLX-8211			2-methyl branched-chain acyl-CoA dehydrogenase	
CPLX-3226			soluble methane monooxygenase	
GLUTATHIONE-REDUCT-NADPH-CPLX				
CPLX-8674			gluconate 2-dehydrogenase complex	
CPLX-6741				
CPLX-9102			alkene monooxygenase oxygenase component dimer	
CPLX-6972				
CPLX-9504			5-hydroxy-3-[(3a<i>S</i>,4<i>S</i>,5<i>R</i>,7a<i>S</i>)-7a-methyl-1,5-dioxo-octahydro-1<i>H</i>-inden-4-yl]propanoyl-CoA dehydrogenase	
CPLX-741				
CPLX0-7674			voltage-gated K<sup>+</sup> channel	
CPLX3O-82				
CPLX-8197			SoxZY	
CPLX-3101			nitrite oxidoreductase	NOR, NXR
GAPDH-A-CPLX				GAPDH-A
CPLX-8660			D-tagaturonate epimerase	
CPLX-662			&beta; complex	
CPLX-9086			gluconokinase	
CPLX-6949				
CPLX-9486				
CPLX-7393			catalase (peroxisomal)	
CPLX-1301			carbon monoxide dehydrogenase/acetyl-CoA synthase &alpha; subunit dimer	
CPLX0-7641			Zn<sup>2+</sup>/Fe<sup>2+</sup>/Cd<sup>2+</sup> exporter	
CPLX3O-272			sterol C-4 demethylation complex	
CPLX-8174				
CPLX-2921				
FOLXTET-CPLX			dihydroneopterin triphosphate 2'-epimerase	
CPLX-8634		Q8W1X2	pyridoxal kinase	
CPLX-6444				
CPLX-9068			BchX dimer	
CPLX-9471			patellamide heterocyclase	
CPLX-7368				
CPLX-1202				EBD
CPLX0-7608			5-carboxymethylaminomethyluridine-tRNA synthase GTPase subunit	
CPLX-8158			phosphoserine aminotransferase	
CPLX-2782			HMG aldolase	4-hydroxy-4-methyl-2-oxoglutarate aldolase
ENTE-CPLX			2,3-dihydroxybenzoate-[aryl-carrier protein] ligase	enterobactin synthetase component E, enterochelin synthase E, enterobactin synthase component E
CPLX-8615			nucleoside-diphosphate kinase 1	
CPLX-6341				
CPLX-9050			carbon monoxide dehydrogenase &alpha;<sub>2</sub> dimer	
CPLX-9454			caldariellaquinol oxidase SoxM complex	
CPLX-7351				
CPLX-1104			purine nucleoside phosphorylase	
CPLX0-7458			glycolate dehydrogenase	
CPLX-7766			6-deoxy-5-ketofructose 1-phosphate synthase	
CPLX3O-105			ubiquinol cytochrome c reductase	
CPLX-8141			adenine phosphoribosyltransferase	
CPLX-268				
DIHYDROPTERIREDUCT-CPLX			NAD(P)H-dependent nitroreductase NfsB	
CPLX-8600				
CPLX-621				
CPLX-9023			3-hydroxy-4-methyl-D-kynurenine hydrolase	
CPLX-9437			2-(3-hydroxy-2-oxo-1<i>H</i>-indol-3-yl)acetate dioxygenase	
CPLX-7335				
CPLX-1006				
CPLX0-3958			<I>Eco</I>KI restriction-modification system	
CPLX-7749			pyruvate carboxylase	
CPLX1YI0-73			PsbF dimer	
CPLX-8124			iduronate 2-sulfatase	
CPLX-2543			benzaldehyde dehydrogenase	
D-RIBULOKIN-CPLX				
CPLX-8575			inositol phosphorylceramide mannosyltransferase	
CPLX-6			arsenite-transporting ATPase	
CPLX-9004			3-methylorcinaldehyde monooxygenase	
CPLX-8571			serine palmitoyltransferase	
CPLX-5961			glutathione synthase	glutathione synthetase
CPLX-9001			nitroarene dioxygenase oxygenase component	
CPLX-9419			phenylphosphate synthase	
CPLX-7316				
BCCP-CPLX			biotin carboxyl carrier protein (dimer)	BCCP, AccB
CPLX0-3924			peptidyl-prolyl <i>cis-trans</i> isomerase FklB	
CPLX-7729			meromycolic acid 3-hydroxyacyl-[acyl-carrier-protein] dehydratase I	hadAB
CPLX1R65-171			B12-dependent propanediol dehydratase	cobalamine-dependent propanediol dehydratase
CPLX-8103				
CPLX-234			trihydroxystilbene synthase	
CPLXQT-10			cytochrome <i>bc</i><sub>1</sub> complex monomer	
CPLX-8551		P62577	cat	
CPLX-5683				&beta;-ureidopropionase, &beta;-UP
CPLX-8984			2-dehydro-3-deoxy-<small>D</small>-gluconate 5-dehydrogenase	
CPLX-9397			2-cyclohexenylcarbonyl-CoA &Delta;-isomerase	
CPLX-7297				
AT3G15730-CPLX				PLD, PLD &alpha;
CPLX0-3621			replicative DNA helicase	DnaB
CPLX-7711			chlorocatechol 1,2-dioxygenase	
CPLX1G01-44			succinate dehydrogenase	
CPLX-8087			quinohemoprotein amine dehydrogenase	QHNDH
CPLX-2202			endo-polygalacturonase isozyme 1	pectin depolymerase
CPLX8J2-214				
CPLX-8535			&beta;-diglucosidase	
CPLX-5562			5,10-methylenetetrahydrofolate dehydrogenase [multifunctional]	
CPLX-8968			(Z)-hinokiresinol synthase	
CPLX-9381			streptovaricin polyketide synthase complex	
CPLX-7277			amidase	
ASNSYNB-CPLX			asparagine synthetase B	
CPLX0-321				
CPLX-7694				
CPLX1A0-6334			3-oxoacyl-[acp]-synthase	KS-CLF, 3-oxoacyl-ACP-synthase
CPLX-8070				
CPLX-2064				
CPLX66-574			dehydrodolichyl diphosphate synthase complex	
CPLX-8514			emodin <I>O</i>-methyltransferase	
CPLX-54				
CPLX-8952				
CPLX-9365			mycolipanoate synthase	
CPLX-7255			naphthalene 1,2-dioxygenase complex oxygenase component	
ANSB-CPLX			L-asparaginase 2	
CPLX0-301				
CPLX-7671				
CPLX0-861			protein/nucleic acid deglycase 1	
CPLX-8051			uronate dehydrogenase	uronic acid dehydrogenase
CPLX-1982			F<SUB>1</SUB> complex	
CPLX66-557			cytochrome <i>bc</i><sub>1</sub> complex monomer	coenzyme Q:cytochrome <i>c</i> oxidoreductase, complex III
CPLX-8491			chanoclavine-I dehydrogenase	
CPLX-5261				
UDHA-CPLX			soluble pyridine nucleotide transhydrogenase	
CPLX-8929			glycine activating subunit	
CPLX-9349			pimeloyl-CoA dehydrogenase	
CPLX-7235			2-hydroxyhepta-2,4-dienedioate hydratase pentamer	
ADHC-CPLX				
CPLX0-248			cysteine desulfurase IscS	
CPLX-7655				
CPLX0-8547				
CPLX-8025			aspartate racemase	
CPLX-1921			imidazole-glycerol-phosphate synthase	
CPLX66-508			6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3	
CPLX-8475			mithramycin polyketide synthase	
CPLX-5143				
TMAOREDUCTI-CPLX			menaquinol:trimethylamine <i>N</i>-oxide oxidoreductase I	TorCA
CPLX-8907			dipeptidase GliJ	
CPLX-9325			glycine reductase	
CPLX-7216				
ACETOLACTSYNI-CPLX				acetohydroxybutanoate synthase I, acetohydroxy-acid synthase I, acetolactate synthase I, AHASI
CPLX0-229			anaerobic ribonucleoside-triphosphate reductase activating protein	
CPLX-7633				
CPLX0-8301			Ubi complex	
CPLX-8008				
CPLX-1864				
CPLX66-474			glyoxylate reductase/hydroxypyruvate reductase	
CPLX-8455			2-hydroxybiphenyl-3-monooxygenase [multifunctional]	
CPLX-4961			nicotinamide mononucleotide adenylyltransferase	
SUCC-DEHASE			succinate:quinone oxidoreductase subcomplex	SQR
CPLX-8887			verruculogen synthase	
